,album,release_date,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
0,BLACKPINK 2019-2020 WORLD TOUR IN YOUR AREA -TOKYO DOME- (Live),2020-05-14,1,7fqjqOu4HKTN2yP6aV8lpQ,DDU-DU DDU-DU - JP Ver./ BLACKPINK 2019-2020 WORLD TOUR IN YOUR AREA -TOKYO DOME-,spotify:track:7fqjqOu4HKTN2yP6aV8lpQ,0.0496,0.579,0.937,1.64e-06,0.356,-4.719,0.119,139.943,0.422,55,blackpink
1,BLACKPINK 2019-2020 WORLD TOUR IN YOUR AREA -TOKYO DOME- (Live),2020-05-14,2,3F7VrA3ttl6i6Z4b2KJ9YR,FOREVER YOUNG - JP Ver./ BLACKPINK 2019-2020 WORLD TOUR IN YOUR AREA -TOKYO DOME-,spotify:track:3F7VrA3ttl6i6Z4b2KJ9YR,0.0955,0.358,0.931,0.0,0.388,-4.643,0.211,114.654,0.479,53,blackpink
2,BLACKPINK 2019-2020 WORLD TOUR IN YOUR AREA -TOKYO DOME- (Live),2020-05-14,3,7pt16OMGqeqivEeI1PzkfC,STAY - Remix / JP Ver./ BLACKPINK 2019-2020 WORLD TOUR IN YOUR AREA -TOKYO DOME-,spotify:track:7pt16OMGqeqivEeI1PzkfC,0.29,0.563,0.732,0.0,0.394,-5.943,0.0412,88.005,0.514,51,blackpink
3,BLACKPINK 2019-2020 WORLD TOUR IN YOUR AREA -TOKYO DOME- (Live),2020-05-14,4,3iC3qlIi0KqATuA86pRGcZ,WHISTLE - JP Ver./ BLACKPINK 2019-2020 WORLD TOUR IN YOUR AREA -TOKYO DOME-,spotify:track:3iC3qlIi0KqATuA86pRGcZ,0.0127,0.697,0.873,0.0,0.535,-5.638,0.081,103.02,0.611,50,blackpink
4,BLACKPINK 2019-2020 WORLD TOUR IN YOUR AREA -TOKYO DOME- (Live),2020-05-14,5,60IHvjpylI1IZHVSZnQSKJ,Kill This Love - JP Ver./ BLACKPINK 2019-2020 WORLD TOUR IN YOUR AREA -TOKYO DOME-,spotify:track:60IHvjpylI1IZHVSZnQSKJ,0.218,0.62,0.898,5.27e-05,0.113,-5.424,0.287,132.03,0.409,52,blackpink
5,BLACKPINK 2019-2020 WORLD TOUR IN YOUR AREA -TOKYO DOME- (Live),2020-05-14,6,3u6Knotm44XwggprlvmPtW,Don’t Know What To Do - JP Ver./ BLACKPINK 2019-2020 WORLD TOUR IN YOUR AREA -TOKYO DOME-,spotify:track:3u6Knotm44XwggprlvmPtW,0.0484,0.59,0.76,0.0,0.927,-6.226,0.0932,129.917,0.383,50,blackpink
6,BLACKPINK 2019-2020 WORLD TOUR IN YOUR AREA -TOKYO DOME- (Live),2020-05-14,7,5IKRga8drUYZ5IqON5xXbx,REALLY - JP Ver./ BLACKPINK 2019-2020 WORLD TOUR IN YOUR AREA -TOKYO DOME-,spotify:track:5IKRga8drUYZ5IqON5xXbx,0.0767,0.584,0.955,0.0,0.555,-4.182,0.0691,142.073,0.793,49,blackpink
7,BLACKPINK 2019-2020 WORLD TOUR IN YOUR AREA -TOKYO DOME- (Live),2020-05-14,8,06WghRVH4Yyvu4mtDJ0bfU,SEE U LATER - JP Ver./ BLACKPINK 2019-2020 WORLD TOUR IN YOUR AREA -TOKYO DOME-,spotify:track:06WghRVH4Yyvu4mtDJ0bfU,0.0614,0.685,0.93,0.0,0.304,-5.265,0.0839,106.976,0.624,48,blackpink
8,BLACKPINK 2019-2020 WORLD TOUR IN YOUR AREA -TOKYO DOME- (Live),2020-05-14,9,614TWJTbiXsJCPxMpnKi0L,PLAYING WITH FIRE - JP Ver./ BLACKPINK 2019-2020 WORLD TOUR IN YOUR AREA -TOKYO DOME-,spotify:track:614TWJTbiXsJCPxMpnKi0L,0.113,0.611,0.871,0.0,0.64,-5.24,0.0538,97.0,0.645,48,blackpink
9,BLACKPINK 2019-2020 WORLD TOUR IN YOUR AREA -TOKYO DOME- (Live),2020-05-14,10,3oZWZlxfXuUbbUPndAfmRR,Kick It - JP Ver./ BLACKPINK 2019-2020 WORLD TOUR IN YOUR AREA -TOKYO DOME-,spotify:track:3oZWZlxfXuUbbUPndAfmRR,0.133,0.648,0.819,0.0,0.359,-5.435,0.0492,125.123,0.443,48,blackpink
10,BLACKPINK 2019-2020 WORLD TOUR IN YOUR AREA -TOKYO DOME- (Live),2020-05-14,11,2u8Msh7gewUrmJ74K8HZNq,BOOMBAYAH - JP Ver./ BLACKPINK 2019-2020 WORLD TOUR IN YOUR AREA -TOKYO DOME-,spotify:track:2u8Msh7gewUrmJ74K8HZNq,0.0228,0.611,0.906,0.0,0.594,-4.977,0.117,124.972,0.468,49,blackpink
11,BLACKPINK 2019-2020 WORLD TOUR IN YOUR AREA -TOKYO DOME- (Live),2020-05-14,12,1hPIpoUwxbXBp5fGMSDcXx,AS IF IT’S YOUR LAST - JP Ver./ BLACKPINK 2019-2020 WORLD TOUR IN YOUR AREA -TOKYO DOME-,spotify:track:1hPIpoUwxbXBp5fGMSDcXx,0.153,0.597,0.943,0.0,0.328,-3.971,0.137,125.044,0.586,48,blackpink
14,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live),2019-08-30,3,6zlLFk0ZjBkA80p6xcZ8Ac,STAY (Remix Version) - Live,spotify:track:6zlLFk0ZjBkA80p6xcZ8Ac,0.276,0.564,0.776,0.0,0.332,-4.999,0.0457,87.952,0.456,43,blackpink
18,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live),2019-08-30,7,3mGle2Kpzw3E6G0g0T79QN,Really (Reggae Version) - Live,spotify:track:3mGle2Kpzw3E6G0g0T79QN,0.132,0.635,0.908,0.0,0.435,-4.433,0.117,141.99,0.77,43,blackpink
23,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live),2019-08-30,12,6w5egqwHmhrBJsw8soFcuU,WHISTLE (Remix Version) - Live,spotify:track:6w5egqwHmhrBJsw8soFcuU,0.14,0.681,0.923,0.0,0.409,-3.781,0.0935,112.952,0.532,42,blackpink
24,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live),2019-08-30,13,1b7PAugOHr8ZjD1Dbj8fON,DDU DDU-DU (Remix Version) - Live,spotify:track:1b7PAugOHr8ZjD1Dbj8fON,0.0413,0.58,0.896,0.0,0.449,-3.411,0.131,139.973,0.379,43,blackpink
26,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL - Live,2019-08-30,1,69Bi7veKMrb2mRq00HkRyO,DDU-DU DDU-DU - Live,spotify:track:69Bi7veKMrb2mRq00HkRyO,0.0184,0.55,0.901,5.07e-06,0.368,-4.635,0.228,139.916,0.359,59,blackpink
27,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL - Live,2019-08-30,2,2KbDqDFhB41oENnpdBLl2x,Forever Young - Live,spotify:track:2KbDqDFhB41oENnpdBLl2x,0.0675,0.501,0.929,0.0,0.476,-4.592,0.101,109.612,0.371,47,blackpink
28,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL - Live,2019-08-30,3,1ULCr3veBCQax14sdKx8Zz,STAY - Live - Remix,spotify:track:1ULCr3veBCQax14sdKx8Zz,0.276,0.564,0.776,0.0,0.332,-4.999,0.0457,87.952,0.456,46,blackpink
29,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL - Live,2019-08-30,4,4unZivWgVEuHSwS3yEzhca,WHISTLE - Live,spotify:track:4unZivWgVEuHSwS3yEzhca,0.0319,0.714,0.813,0.0,0.68,-5.183,0.0849,103.019,0.511,45,blackpink
30,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL - Live,2019-08-30,5,4PIPs68SEeyJbKvzYtZs1c,YOU & I + ONLY LOOK AT ME - Live,spotify:track:4PIPs68SEeyJbKvzYtZs1c,0.469,0.331,0.6,0.0,0.473,-6.17,0.051,139.78,0.208,49,blackpink
31,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL - Live,2019-08-30,6,76bx2vIjdLTLyYG1tUdjdM,SOLO - Live,spotify:track:76bx2vIjdLTLyYG1tUdjdM,0.0872,0.593,0.682,0.0,0.86,-6.755,0.287,95.218,0.239,48,blackpink
32,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL - Live,2019-08-30,7,4ODurxj27GoF8giSpGpFb4,Really - Live - Reggae,spotify:track:4ODurxj27GoF8giSpGpFb4,0.132,0.635,0.908,0.0,0.435,-4.433,0.117,141.99,0.77,46,blackpink
33,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL - Live,2019-08-30,8,6Reeb3rf94FjBZXXvX8oKH,See U Later - Live,spotify:track:6Reeb3rf94FjBZXXvX8oKH,0.00924,0.71,0.914,1.44e-05,0.358,-5.421,0.1,107.024,0.494,44,blackpink
34,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL - Live,2019-08-30,9,0qSKlbDqG0kl05xzmypfht,PLAYING WITH FIRE - Live,spotify:track:0qSKlbDqG0kl05xzmypfht,0.0476,0.607,0.77,0.0,0.69,-4.842,0.0463,97.083,0.462,45,blackpink
