,album,release_date,track_number,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
0,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14,1,INTRO : Calling,0.5820000000000001,0.486,0.61,0.7909999999999999,0.14400000000000002,-12.062999999999999,0.0348,144.99200000000002,0.0806,66,bts
1,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14,3,Boy With Luv - Japanese ver.,0.0661,0.6729999999999999,0.855,0.0,0.209,-4.65,0.08900000000000001,119.917,0.78,64,bts
2,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14,4,Make It Right - Japanese ver.,0.0163,0.5710000000000001,0.703,0.0,0.262,-7.401,0.46799999999999997,104.06700000000001,0.23800000000000002,65,bts
3,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14,5,Dionysus - Japanese ver.,0.0218,0.455,0.893,0.0,0.358,-3.7119999999999997,0.14800000000000002,175.99200000000002,0.588,66,bts
4,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14,6,IDOL - Japanese ver.,0.000331,0.705,0.754,0.0,0.129,-5.452999999999999,0.0895,126.014,0.42200000000000004,62,bts
5,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14,7,Airplane pt.2 - Japanese ver.,0.04,0.752,0.782,1.04e-06,0.0841,-5.172999999999999,0.0297,139.994,0.9009999999999999,62,bts
6,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14,8,FAKE LOVE - Japanese ver.,0.0036200000000000004,0.546,0.682,0.0,0.295,-5.627999999999999,0.039,154.923,0.433,62,bts
7,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14,9,Black Swan - Japanese ver.,0.166,0.7140000000000001,0.736,0.0,0.133,-5.724,0.0819,147.037,0.536,65,bts
8,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14,10,ON - Japanese ver.,0.11900000000000001,0.598,0.821,0.0,0.298,-5.653,0.114,105.991,0.428,65,bts
9,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14,12,Your eyes tell,0.27899999999999997,0.449,0.491,0.0,0.0654,-6.433,0.028999999999999998,139.923,0.258,80,bts
10,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14,13,OUTRO : The Journey,0.7040000000000001,0.523,0.455,0.45899999999999996,0.135,-14.26,0.0632,136.959,0.165,66,bts
11,MAP OF THE SOUL : 7,2020-02-21,1,Intro : Persona,0.0278,0.469,0.87,0.0,0.313,-4.475,0.342,86.62200000000001,0.652,66,bts
