,album,release_date,track_number,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
0,How You Like That,2020-06-26,1,How You Like That,0.0694,0.828,0.782,3.41e-05,0.0544,-4.013999999999999,0.0918,130.013,0.35100000000000003,89,blackpink
1,Sour Candy (with BLACKPINK),2020-05-28,1,Sour Candy (with BLACKPINK),0.0604,0.752,0.87,1.12e-05,0.489,-3.812,0.0623,120.006,0.784,83,blackpink
2,DDU-DU DDU-DU (Remix JP Ver.),2019-10-16,1,DDU-DU DDU-DU - Remix JP Ver.,0.0223,0.6609999999999999,0.8759999999999999,0.000167,0.07,-7.122000000000001,0.0662,144.981,0.619,52,blackpink
3,KILL THIS LOVE (JP Ver.),2019-10-16,1,KILL THIS LOVE - JP Ver.,0.344,0.753,0.846,0.002,0.419,-4.77,0.261,131.924,0.542,68,blackpink
4,KILL THIS LOVE (JP Ver.),2019-10-16,2,DON'T KNOW WHAT TO DO - JP Ver.,0.0658,0.662,0.614,0.0,0.1,-4.105,0.0396,129.94,0.413,46,blackpink
5,KILL THIS LOVE (JP Ver.),2019-10-16,3,KICK IT - JP Ver.,0.0145,0.792,0.705,0.0,0.0462,-3.9739999999999998,0.0492,124.889,0.493,44,blackpink
6,KILL THIS LOVE (JP Ver.),2019-10-16,4,HOPE NOT - JP Ver.,0.563,0.584,0.342,0.0,0.128,-5.702000000000001,0.0276,109.557,0.19899999999999998,43,blackpink
7,KILL THIS LOVE (JP Ver.),2019-10-16,5,DDU-DU DDU-DU - Remix -JP Ver.-,0.0256,0.649,0.872,0.000275,0.0692,-7.138,0.0624,144.94,0.619,0,blackpink
8,KILL THIS LOVE,2019-04-05,1,Kill This Love,0.32,0.738,0.861,0.00175,0.325,-4.141,0.237,131.974,0.58,79,blackpink
9,KILL THIS LOVE,2019-04-05,2,Don't Know What To Do,0.0992,0.628,0.64,0.0,0.138,-4.164,0.049,129.815,0.409,70,blackpink
10,KILL THIS LOVE,2019-04-05,5,DDU-DU DDU-DU - Remix,0.0336,0.68,0.9059999999999999,7.75e-05,0.077,-6.195,0.0734,145.041,0.68,61,blackpink
11,Kill This Love,2019-04-05,3,Kick It,0.0156,0.765,0.787,0.0,0.0736,-3.647,0.0445,124.949,0.381,65,blackpink
12,Kill This Love,2019-04-05,4,Hope Not,0.441,0.556,0.423,0.0,0.0867,-4.998,0.0274,110.086,0.179,62,blackpink
13,Kill This Love,2019-04-05,5,DDU-DU DDU-DU (Remix),0.0341,0.68,0.9059999999999999,7.829999999999999e-05,0.077,-6.195,0.0734,145.05,0.68,59,blackpink
14,Kiss And Make Up,2018-10-24,1,Kiss And Make Up,0.0658,0.6779999999999999,0.7290000000000001,0.0,0.303,-4.188,0.13699999999999998,99.895,0.643,30,blackpink
15,SQUARE UP,2018-06-15,1,DDU-DU DDU-DU,0.0323,0.6709999999999999,0.8590000000000001,0.0,0.267,-3.9219999999999997,0.0833,139.931,0.389,76,blackpink
16,SQUARE UP,2018-06-15,2,Forever Young,0.0426,0.6,0.96,0.0,0.0882,-1.807,0.095,109.863,0.503,69,blackpink
