,album,release_date,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
0,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14,1,5raJ9QoZOdoRZ1MZOcygkR,INTRO : Calling,spotify:track:5raJ9QoZOdoRZ1MZOcygkR,0.582,0.486,0.61,0.791,0.144,-12.063,0.0348,144.992,0.0806,66,bts
2,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14,3,1GAAUZBTaIM1LwNpOJQJrZ,Boy With Luv - Japanese ver.,spotify:track:1GAAUZBTaIM1LwNpOJQJrZ,0.0661,0.673,0.855,0.0,0.209,-4.65,0.089,119.917,0.78,64,bts
3,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14,4,6P0Ni8GrnwRScC4uk8tKqM,Make It Right - Japanese ver.,spotify:track:6P0Ni8GrnwRScC4uk8tKqM,0.0163,0.571,0.703,0.0,0.262,-7.401,0.468,104.067,0.238,65,bts
4,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14,5,6j0NiWoRQDiNC05RwVVZNa,Dionysus - Japanese ver.,spotify:track:6j0NiWoRQDiNC05RwVVZNa,0.0218,0.455,0.893,0.0,0.358,-3.712,0.148,175.992,0.588,66,bts
5,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14,6,2vYF5MHeCNtqCVastthDAo,IDOL - Japanese ver.,spotify:track:2vYF5MHeCNtqCVastthDAo,0.000331,0.705,0.754,0.0,0.129,-5.453,0.0895,126.014,0.422,62,bts
6,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14,7,4EeVAiJtyblHzvkN9sZCmM,Airplane pt.2 - Japanese ver.,spotify:track:4EeVAiJtyblHzvkN9sZCmM,0.04,0.752,0.782,1.04e-06,0.0841,-5.173,0.0297,139.994,0.901,62,bts
7,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14,8,4jTEbIwCMcHSwlSEiR4NlQ,FAKE LOVE - Japanese ver.,spotify:track:4jTEbIwCMcHSwlSEiR4NlQ,0.00362,0.546,0.682,0.0,0.295,-5.628,0.039,154.923,0.433,62,bts
8,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14,9,5smmjzMNkj4YSacTBH6taZ,Black Swan - Japanese ver.,spotify:track:5smmjzMNkj4YSacTBH6taZ,0.166,0.714,0.736,0.0,0.133,-5.724,0.0819,147.037,0.536,65,bts
9,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14,10,2hhizKAVm9wNn0d2N05jkG,ON - Japanese ver.,spotify:track:2hhizKAVm9wNn0d2N05jkG,0.119,0.598,0.821,0.0,0.298,-5.653,0.114,105.991,0.428,65,bts
11,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14,12,3TZ7NHkMT82AhwuYsd00Hz,Your eyes tell,spotify:track:3TZ7NHkMT82AhwuYsd00Hz,0.279,0.449,0.491,0.0,0.0654,-6.433,0.029,139.923,0.258,80,bts
12,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14,13,0VF357Gjay5vvCqWA1kSu6,OUTRO : The Journey,spotify:track:0VF357Gjay5vvCqWA1kSu6,0.704,0.523,0.455,0.459,0.135,-14.26,0.0632,136.959,0.165,66,bts
33,MAP OF THE SOUL : 7,2020-02-21,1,2BgZrbbAZxSnyE7U5efVrG,Intro : Persona,spotify:track:2BgZrbbAZxSnyE7U5efVrG,0.0278,0.469,0.87,0.0,0.313,-4.475,0.342,86.622,0.652,66,bts
34,MAP OF THE SOUL : 7,2020-02-21,2,1ZpFxOhpzT1MDCq7zjtOV1,Boy With Luv (Feat. Halsey),spotify:track:1ZpFxOhpzT1MDCq7zjtOV1,0.0923,0.645,0.862,0.0,0.192,-4.757,0.0965,119.991,0.798,66,bts
38,MAP OF THE SOUL : 7,2020-02-21,6,2Nib4r0saYQf2pUV4RFDhl,Interlude : Shadow,spotify:track:2Nib4r0saYQf2pUV4RFDhl,0.115,0.385,0.798,0.0,0.181,-6.439,0.483,149.756,0.141,71,bts
40,MAP OF THE SOUL : 7,2020-02-21,8,0ono6UCNVZ1XqOm6j78Blu,Filter,spotify:track:0ono6UCNVZ1XqOm6j78Blu,0.0222,0.781,0.762,0.0,0.121,-5.188,0.0626,110.042,0.86,78,bts
41,MAP OF THE SOUL : 7,2020-02-21,9,4vTgx6h4seHvkuFh84JXYP,My Time,spotify:track:4vTgx6h4seHvkuFh84JXYP,0.151,0.674,0.64,0.0,0.0925,-5.139,0.0339,99.908,0.664,76,bts
42,MAP OF THE SOUL : 7,2020-02-21,10,3op7HNwLli54MBjFGzIlZO,Louder than bombs,spotify:track:3op7HNwLli54MBjFGzIlZO,0.0433,0.643,0.667,0.0,0.0904,-6.993,0.152,145.999,0.485,73,bts
43,MAP OF THE SOUL : 7,2020-02-21,11,2QyuXBcV1LJ2rq01KhreMF,ON,spotify:track:2QyuXBcV1LJ2rq01KhreMF,0.118,0.583,0.817,0.0,0.338,-5.146,0.0987,105.936,0.438,81,bts
44,MAP OF THE SOUL : 7,2020-02-21,12,1aKuG1GG76xPLUkjBbQo3W,UGH!,spotify:track:1aKuG1GG76xPLUkjBbQo3W,0.0394,0.72,0.824,0.0,0.0509,-5.086,0.128,165.998,0.333,74,bts
45,MAP OF THE SOUL : 7,2020-02-21,13,4AlihYDqxXshKhvh5tnMfP,00:00 (Zero O’Clock),spotify:track:4AlihYDqxXshKhvh5tnMfP,0.0802,0.566,0.548,0.0,0.11,-6.456,0.0579,157.999,0.196,74,bts
46,MAP OF THE SOUL : 7,2020-02-21,14,4BKOjYosPhw334moS3wlbO,Inner Child,spotify:track:4BKOjYosPhw334moS3wlbO,0.017,0.589,0.696,0.0,0.0808,-7.981,0.0725,134.953,0.332,73,bts
47,MAP OF THE SOUL : 7,2020-02-21,15,7w05lsU2VLSeiT8Nukrv5M,Friends,spotify:track:7w05lsU2VLSeiT8Nukrv5M,0.0668,0.55,0.747,0.0,0.0536,-5.211,0.0407,79.98,0.648,75,bts
48,MAP OF THE SOUL : 7,2020-02-21,16,1xfXXujIlLZAx5wpu46Nyk,Moon,spotify:track:1xfXXujIlLZAx5wpu46Nyk,0.0104,0.703,0.646,0.0,0.191,-6.658,0.0596,141.87,0.64,73,bts
49,MAP OF THE SOUL : 7,2020-02-21,17,37TSJmYKLxXmx8OehFpqMN,Respect,spotify:track:37TSJmYKLxXmx8OehFpqMN,0.00485,0.661,0.84,0.0,0.287,-4.805,0.116,91.457,0.524,70,bts
50,MAP OF THE SOUL : 7,2020-02-21,18,44WLOqH7QayQOQdeUHeKUK,We are Bulletproof : the Eternal,spotify:track:44WLOqH7QayQOQdeUHeKUK,0.225,0.526,0.575,0.0,0.108,-5.215,0.0309,84.047,0.19,77,bts
51,MAP OF THE SOUL : 7,2020-02-21,19,3r9FFjLrAIQjoR8pSHVPC9,Outro : Ego,spotify:track:3r9FFjLrAIQjoR8pSHVPC9,0.0121,0.808,0.903,0.000233,0.0993,-3.106,0.0958,116.988,0.473,72,bts
52,MAP OF THE SOUL : 7,2020-02-21,20,3IB5qOeMayvpOdHxYCL5tZ,ON (Feat. Sia),spotify:track:3IB5qOeMayvpOdHxYCL5tZ,0.137,0.591,0.848,0.0,0.372,-4.397,0.0828,105.922,0.386,73,bts
54,MAP OF THE SOUL : PERSONA,2019-04-12,2,5KawlOMHjWeUjQtnuRs22c,Boy With Luv (feat. Halsey),spotify:track:5KawlOMHjWeUjQtnuRs22c,0.0923,0.645,0.862,0.0,0.192,-4.757,0.0965,119.991,0.798,82,bts
55,MAP OF THE SOUL : PERSONA,2019-04-12,3,5hnbE5BF2e8BCk9OMR1UVC,Mikrokosmos,spotify:track:5hnbE5BF2e8BCk9OMR1UVC,0.125,0.58,0.858,0.0,0.0502,-5.212,0.114,174.039,0.475,74,bts
56,MAP OF THE SOUL : PERSONA,2019-04-12,4,6KUE0HSSudAp9AOycaF6SH,Make It Right,spotify:track:6KUE0HSSudAp9AOycaF6SH,0.0104,0.638,0.703,0.0,0.132,-7.874,0.444,105.766,0.261,71,bts
57,MAP OF THE SOUL : PERSONA,2019-04-12,5,7lthOBXNue2IvedLRfkod8,HOME,spotify:track:7lthOBXNue2IvedLRfkod8,0.0142,0.633,0.799,0.0,0.194,-4.625,0.0429,142.991,0.535,72,bts
58,MAP OF THE SOUL : PERSONA,2019-04-12,6,0eeeyCAGnGZInPtpkdYiPa,Jamais Vu,spotify:track:0eeeyCAGnGZInPtpkdYiPa,0.226,0.608,0.47,0.0,0.0963,-6.73,0.0428,81.0,0.241,69,bts
59,MAP OF THE SOUL : PERSONA,2019-04-12,7,6JdS5rJvJaRA7B1tcm7kxZ,Dionysus,spotify:track:6JdS5rJvJaRA7B1tcm7kxZ,0.04,0.502,0.91,0.0,0.319,-2.769,0.107,176.084,0.588,71,bts
60,Love Yourself 結 'Answer',2018-08-24,1,3p6hnejEQYXkiTO1lAzVc0,Euphoria,spotify:track:3p6hnejEQYXkiTO1lAzVc0,0.394,0.637,0.799,0.0,0.0921,-4.519,0.0338,104.995,0.562,77,bts
61,Love Yourself 結 'Answer',2018-08-24,2,0usLRFLmYXYahKNgXxsuJc,Trivia 起 : Just Dance,spotify:track:0usLRFLmYXYahKNgXxsuJc,0.0907,0.723,0.906,0.0,0.0771,-4.778,0.279,125.019,0.398,65,bts
62,Love Yourself 結 'Answer',2018-08-24,3,5cQB9fbuQCz4muQUFkv3rR,Serendipity (Full Length Edition),spotify:track:5cQB9fbuQCz4muQUFkv3rR,0.445,0.347,0.578,0.0,0.231,-7.525,0.0626,86.73,0.226,72,bts
63,Love Yourself 結 'Answer',2018-08-24,4,6Z7m5DLNPOaPg9T6nXK0rQ,DNA,spotify:track:6Z7m5DLNPOaPg9T6nXK0rQ,0.0223,0.599,0.774,0.0,0.0669,-4.014,0.0541,129.819,0.696,73,bts
64,Love Yourself 結 'Answer',2018-08-24,5,0DrxFkuc1mpxdbUbssLQ4d,Dimple,spotify:track:0DrxFkuc1mpxdbUbssLQ4d,0.142,0.612,0.844,0.0,0.287,-4.694,0.0756,134.868,0.653,69,bts
65,Love Yourself 結 'Answer',2018-08-24,6,6aHCXTCkPiB4zgXKpB7BHS,Trivia 承 : Love,spotify:track:6aHCXTCkPiB4zgXKpB7BHS,0.246,0.761,0.761,0.0,0.103,-5.721,0.0897,121.972,0.483,64,bts
66,Love Yourself 結 'Answer',2018-08-24,7,3HhVmd5y8BI1s2R4z9rQKW,Her,spotify:track:3HhVmd5y8BI1s2R4z9rQKW,0.317,0.481,0.927,0.0,0.0583,-5.704,0.27,88.931,0.448,58,bts
