,album,release_date,track_number,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
0,OBSESSION - The 6th Album,2019-11-27,1,Obsession,0.0024,0.7040000000000001,0.7290000000000001,0.0,0.218,-3.8510000000000004,0.0624,129.99200000000002,0.71,71,exo
1,OBSESSION - The 6th Album,2019-11-27,2,Trouble,0.321,0.5720000000000001,0.8,0.0,0.511,-4.421,0.13699999999999998,76.02199999999999,0.767,55,exo
2,OBSESSION - The 6th Album,2019-11-27,3,Jekyll,0.43799999999999994,0.721,0.57,0.0,0.0975,-3.759,0.0567,99.988,0.47200000000000003,55,exo
3,OBSESSION - The 6th Album,2019-11-27,4,Groove,0.287,0.628,0.8009999999999999,1.22e-06,0.0903,-4.744,0.0416,98.022,0.44,55,exo
4,OBSESSION - The 6th Album,2019-11-27,5,Ya Ya Ya,0.0573,0.369,0.772,0.0,0.325,-4.0489999999999995,0.3,205.17700000000002,0.491,53,exo
5,OBSESSION - The 6th Album,2019-11-27,6,Baby You Are,0.11800000000000001,0.768,0.778,0.0,0.20199999999999999,-6.184,0.0728,107.935,0.784,54,exo
6,OBSESSION - The 6th Album,2019-11-27,7,Non Stop,0.303,0.7290000000000001,0.887,0.0,0.23199999999999998,-3.28,0.0631,116.006,0.602,51,exo
7,OBSESSION - The 6th Album,2019-11-27,8,Day After Day,0.27699999999999997,0.397,0.675,0.0,0.0874,-4.925,0.11199999999999999,102.941,0.452,49,exo
8,OBSESSION - The 6th Album,2019-11-27,9,Butterfly Effect,0.23199999999999998,0.684,0.8420000000000001,0.0,0.0721,-4.637,0.0778,104.00299999999999,0.669,52,exo
9,OBSESSION - The 6th Album,2019-11-27,10,Obsession - Chinese Version,0.004229999999999999,0.688,0.7390000000000001,0.0,0.17800000000000002,-3.823,0.0559,130.039,0.7340000000000001,42,exo
10,LOVE SHOT– The 5th Album Repackage,2018-12-13,1,Love Shot,0.0702,0.6890000000000001,0.6779999999999999,0.0,0.0889,-4.287,0.11900000000000001,145.88299999999998,0.335,71,exo
11,LOVE SHOT– The 5th Album Repackage,2018-12-13,3,Trauma,0.12,0.8009999999999999,0.7559999999999999,0.0,0.0836,-4.696000000000001,0.0448,110.988,0.622,49,exo
12,LOVE SHOT– The 5th Album Repackage,2018-12-13,4,Wait,0.8290000000000001,0.47700000000000004,0.237,0.0,0.107,-10.255999999999998,0.0438,74.207,0.36200000000000004,52,exo
13,LOVE SHOT– The 5th Album Repackage,2018-12-13,5,Sign,0.0135,0.637,0.669,0.0,0.406,-5.289,0.0732,168.11700000000002,0.501,47,exo
14,LOVE SHOT– The 5th Album Repackage,2018-12-13,6,Ooh La La La,0.23800000000000002,0.65,0.648,0.0,0.111,-6.016,0.0833,165.15,0.61,53,exo
15,LOVE SHOT– The 5th Album Repackage,2018-12-13,7,Gravity,0.0711,0.693,0.8640000000000001,0.0,0.0961,-3.365,0.0807,117.961,0.695,49,exo
16,LOVE SHOT– The 5th Album Repackage,2018-12-13,9,24/7,0.1,0.762,0.594,0.0,0.12300000000000001,-5.465,0.0481,98.025,0.337,51,exo
17,LOVE SHOT– The 5th Album Repackage,2018-12-13,13,Oasis,0.0886,0.629,0.7609999999999999,0.0,0.0814,-4.69,0.0557,144.986,0.605,49,exo
18,LOVE SHOT– The 5th Album Repackage,2018-12-13,14,Love Shot - Chinese Version,0.0797,0.7,0.6659999999999999,0.0,0.0977,-4.25,0.138,145.906,0.39399999999999996,36,exo
19,DON’T MESS UP MY TEMPO – The 5th Album,2018-11-02,1,Tempo,0.237,0.6859999999999999,0.8420000000000001,0.0,0.0683,-4.423,0.1,115.944,0.519,64,exo
20,DON’T MESS UP MY TEMPO – The 5th Album,2018-11-02,5,With You,0.223,0.623,0.74,0.0,0.431,-7.051,0.0403,134.9,0.38299999999999995,40,exo
21,DON’T MESS UP MY TEMPO – The 5th Album,2018-11-02,7,Bad Dream,0.20600000000000002,0.628,0.7340000000000001,0.0,0.145,-5.3420000000000005,0.0994,129.95600000000002,0.535,42,exo
22,DON’T MESS UP MY TEMPO – The 5th Album,2018-11-02,8,Damage,0.192,0.695,0.7829999999999999,0.0,0.0339,-4.0680000000000005,0.151,79.972,0.551,43,exo
23,DON’T MESS UP MY TEMPO – The 5th Album,2018-11-02,9,Smile On My Face,0.4,0.703,0.596,0.0,0.0907,-6.603,0.0412,135.05700000000002,0.5489999999999999,45,exo
24,DON’T MESS UP MY TEMPO – The 5th Album,2018-11-02,11,Tempo - Chinese Version,0.293,0.703,0.831,0.0,0.0705,-4.401,0.0929,115.96,0.574,35,exo
25,COUNTDOWN,2018-01-31,1,Electric Kiss,0.00398,0.6809999999999999,0.9640000000000001,4.2499999999999996e-05,0.721,-3.659,0.0892,101.538,0.687,52,exo
26,COUNTDOWN,2018-01-31,2,Coming Over,0.0007440000000000001,0.648,0.981,0.0337,0.10300000000000001,-2.891,0.0769,111.977,0.8,41,exo
27,COUNTDOWN,2018-01-31,3,Love Me Right 〜romantic universe〜,0.0068200000000000005,0.513,0.877,0.0,0.2,-2.213,0.11800000000000001,109.34299999999999,0.774,39,exo
28,COUNTDOWN,2018-01-31,5,TACTIX,0.0654,0.653,0.934,0.0,0.16899999999999998,-1.851,0.115,120.001,0.589,37,exo
29,COUNTDOWN,2018-01-31,6,Into My World,0.127,0.682,0.914,0.0,0.125,-3.1180000000000003,0.0788,128.096,0.87,36,exo
30,COUNTDOWN,2018-01-31,7,Lovin' You Mo',0.0701,0.664,0.9109999999999999,0.0,0.23199999999999998,-3.16,0.0384,102.041,0.5,38,exo
