,album,release_date,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
0,EXO PLANET #5 –EXplOration– Live Album,2020-04-21,1,6mP6j0P59AZBtDp4TgHGs1,EXplOration - Live,spotify:track:6mP6j0P59AZBtDp4TgHGs1,0.0489,0.163,0.951,0.0228,0.332,-4.524,0.196,75.942,0.108,37,exo
1,EXO PLANET #5 –EXplOration– Live Album,2020-04-21,2,51R9fGhN8vGIEOFDLInF6R,Tempo - Live,spotify:track:51R9fGhN8vGIEOFDLInF6R,0.392,0.613,0.959,0.0,0.354,-2.679,0.102,116.012,0.282,43,exo
2,EXO PLANET #5 –EXplOration– Live Album,2020-04-21,3,4nHsSkd9hZX5CSy2Qmp7wI,Transformer - Live,spotify:track:4nHsSkd9hZX5CSy2Qmp7wI,0.131,0.473,0.977,0.0,0.539,-3.18,0.35,175.81,0.524,38,exo
3,EXO PLANET #5 –EXplOration– Live Album,2020-04-21,4,0rgbZHhfaHxz9zDj4EJPfi,Gravity - Live,spotify:track:0rgbZHhfaHxz9zDj4EJPfi,0.0428,0.637,0.937,0.0,0.756,-2.355,0.124,117.989,0.33,40,exo
4,EXO PLANET #5 –EXplOration– Live Album,2020-04-21,5,4ZxUzwWYIG9oCWxhdBjW6Y,Sign - Live,spotify:track:4ZxUzwWYIG9oCWxhdBjW6Y,0.0797,0.562,0.866,0.0,0.902,-3.118,0.0685,83.976,0.469,38,exo
5,EXO PLANET #5 –EXplOration– Live Album,2020-04-21,6,6haQ6zO4GwumSBRd5uh6bD,UN Village - Live,spotify:track:6haQ6zO4GwumSBRd5uh6bD,0.436,0.608,0.769,0.0,0.879,-4.229,0.0556,84.014,0.371,40,exo
6,EXO PLANET #5 –EXplOration– Live Album,2020-04-21,7,76nYziIO6r41vhe7sQhCto,24/7 - Live,spotify:track:76nYziIO6r41vhe7sQhCto,0.316,0.641,0.798,0.0,0.888,-4.948,0.0947,98.018,0.439,38,exo
7,EXO PLANET #5 –EXplOration– Live Album,2020-04-21,8,1B6HtcrHqKxvIwxaNETzqe,Love Shot - Live,spotify:track:1B6HtcrHqKxvIwxaNETzqe,0.128,0.574,0.914,0.0,0.484,-3.255,0.129,145.885,0.48,48,exo
8,EXO PLANET #5 –EXplOration– Live Album,2020-04-21,9,654LF7jjPY1ZOC8vi9ZrQY,Ooh La La La - Live,spotify:track:654LF7jjPY1ZOC8vi9ZrQY,0.502,0.586,0.857,0.0,0.746,-4.187,0.0827,82.595,0.433,39,exo
9,EXO PLANET #5 –EXplOration– Live Album,2020-04-21,10,2p84Gj2t049kVmdInrl2EV,Monster - Live,spotify:track:2p84Gj2t049kVmdInrl2EV,0.00923,0.481,0.891,0.0,0.867,-3.376,0.16,149.766,0.525,39,exo
10,EXO PLANET #5 –EXplOration– Live Album,2020-04-21,11,04TEtn2XIHfaXTKQ8Cn5KS,Oasis - Live,spotify:track:04TEtn2XIHfaXTKQ8Cn5KS,0.276,0.61,0.853,0.0,0.838,-4.669,0.087,144.982,0.396,37,exo
11,EXO PLANET #5 –EXplOration– Live Album,2020-04-21,12,0dYSf1Qv7BjhfAfSOU0pRY,Been Through - Live,spotify:track:0dYSf1Qv7BjhfAfSOU0pRY,0.0955,0.459,0.847,3.77e-05,0.943,-5.233,0.16,135.907,0.351,38,exo
12,EXO PLANET #5 –EXplOration– Live Album,2020-04-21,13,1jz3RwyU4D8sGdgbd9A54o,Lights Out - Live,spotify:track:1jz3RwyU4D8sGdgbd9A54o,0.94,0.481,0.309,0.000954,0.684,-9.355,0.0316,71.888,0.0776,36,exo
13,EXO PLANET #5 –EXplOration– Live Album,2020-04-21,1,0jR3VqqqLagovtzCcOe7Jl,What A Life - Live,spotify:track:0jR3VqqqLagovtzCcOe7Jl,0.254,0.688,0.932,0.0,0.85,-3.557,0.0979,134.987,0.657,37,exo
14,EXO PLANET #5 –EXplOration– Live Album,2020-04-21,2,67wIhYsRsqyziLMIFzlQjs,Closer To You - Live,spotify:track:67wIhYsRsqyziLMIFzlQjs,0.187,0.6,0.928,0.0,0.466,-4.226,0.136,93.033,0.431,35,exo
