,album,release_date,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
0,‘The ReVe Festival’ Finale,2019-12-23,1,3CYH422oy1cZNoo0GTG1TK,Psycho,spotify:track:3CYH422oy1cZNoo0GTG1TK,0.193,0.664,0.666,0.0,0.0854,-2.203,0.0446,139.987,0.405,80,red velvet
1,‘The ReVe Festival’ Finale,2019-12-23,2,2iYnEfKsAsE86Yb9mS4b3E,In & Out,spotify:track:2iYnEfKsAsE86Yb9mS4b3E,0.211,0.568,0.804,0.0,0.14,-2.995,0.136,159.68,0.612,62,red velvet
2,‘The ReVe Festival’ Finale,2019-12-23,3,2m9K7KlDOQ0NXk9xBpkuoZ,Remember Forever,spotify:track:2m9K7KlDOQ0NXk9xBpkuoZ,0.57,0.576,0.619,0.0,0.0916,-3.324,0.0419,149.896,0.524,54,red velvet
3,‘The ReVe Festival’ Finale,2019-12-23,4,5vdqSjUj9JZsAHdr02Vygk,"Eyes Locked, Hands Locked",spotify:track:5vdqSjUj9JZsAHdr02Vygk,0.624,0.647,0.674,1.47e-06,0.202,-3.236,0.0441,79.986,0.734,52,red velvet
4,‘The ReVe Festival’ Finale,2019-12-23,5,1wpAS4Jm9ElkOJjnyDX4Tm,Ladies Night,spotify:track:1wpAS4Jm9ElkOJjnyDX4Tm,0.0895,0.598,0.883,0.0,0.0731,-3.456,0.0792,115.023,0.705,50,red velvet
5,‘The ReVe Festival’ Finale,2019-12-23,6,3q21kVfUIdkzqYpzBCbojN,Jumpin',spotify:track:3q21kVfUIdkzqYpzBCbojN,0.0106,0.731,0.839,0.0,0.316,-3.981,0.193,148.996,0.811,49,red velvet
6,‘The ReVe Festival’ Finale,2019-12-23,7,12okmCNziVZkDIcEOx0SD9,Love Is The Way,spotify:track:12okmCNziVZkDIcEOx0SD9,0.0359,0.831,0.633,3.35e-05,0.125,-4.568,0.0498,119.931,0.921,50,red velvet
7,‘The ReVe Festival’ Finale,2019-12-23,8,2KqYLFNTX2HXzYH4bucBKa,Carpool,spotify:track:2KqYLFNTX2HXzYH4bucBKa,0.187,0.711,0.823,0.0,0.208,-3.49,0.079,122.122,0.701,48,red velvet
9,‘The ReVe Festival’ Finale,2019-12-23,10,7gs7h249FMYC3U02BimoD6,LP,spotify:track:7gs7h249FMYC3U02BimoD6,0.0714,0.674,0.832,0.0,0.714,-5.2,0.0894,159.995,0.761,50,red velvet
10,‘The ReVe Festival’ Finale,2019-12-23,11,3lZHJ90cpbtLCyJNzL39Pb,Parade,spotify:track:3lZHJ90cpbtLCyJNzL39Pb,0.046,0.728,0.84,0.00131,0.579,-4.206,0.0699,94.954,0.715,47,red velvet
11,‘The ReVe Festival’ Finale,2019-12-23,12,0tHkBl71ZHXaFdc0sNGQHz,Bing Bing,spotify:track:0tHkBl71ZHXaFdc0sNGQHz,0.106,0.774,0.888,3.84e-05,0.432,-3.689,0.0641,114.035,0.45,46,red velvet
12,‘The ReVe Festival’ Finale,2019-12-23,13,65ZHlbTuPrZggbmYCVjPL4,Milkshake,spotify:track:65ZHlbTuPrZggbmYCVjPL4,0.0431,0.526,0.765,4.22e-06,0.39,-5.855,0.243,167.813,0.84,49,red velvet
13,‘The ReVe Festival’ Finale,2019-12-23,14,782QoB4jJ7hEVJmkYzVrRE,Sunny Side Up!,spotify:track:782QoB4jJ7hEVJmkYzVrRE,0.149,0.706,0.694,0.0,0.11,-5.555,0.0722,134.96,0.586,54,red velvet
15,‘The ReVe Festival’ Finale,2019-12-23,16,1O7qPyMtudzP3APaOT2OTH,La Rouge - Special Track,spotify:track:1O7qPyMtudzP3APaOT2OTH,0.0814,0.614,0.842,0.0,0.0744,-2.751,0.075,94.907,0.705,50,red velvet
16,The Perfect Red Velvet - The 2nd Album Repackage,2018-01-29,1,5GKwq4sO5ZHKuWaDmdwMQc,Bad Boy,spotify:track:5GKwq4sO5ZHKuWaDmdwMQc,0.191,0.714,0.736,0.0,0.0553,-3.801,0.0457,149.985,0.814,72,red velvet
17,The Perfect Red Velvet - The 2nd Album Repackage,2018-01-29,2,2SahFuW1EZN9MXNVTkxv6F,All Right,spotify:track:2SahFuW1EZN9MXNVTkxv6F,0.135,0.721,0.924,0.0,0.0427,-3.071,0.0524,124.024,0.801,46,red velvet
22,The Perfect Red Velvet - The 2nd Album Repackage,2018-01-29,7,6AdhHZfTC4ep1b2v7L0Hfl,Time To Love,spotify:track:6AdhHZfTC4ep1b2v7L0Hfl,0.14,0.41,0.654,0.0,0.126,-3.966,0.067,184.736,0.341,47,red velvet
28,Perfect Velvet - The 2nd Album,2017-11-17,1,42tFTth2jcF7iSo0RBjfJF,피카부 Peek-A-Boo,spotify:track:42tFTth2jcF7iSo0RBjfJF,0.0868,0.839,0.902,0.00257,0.272,-3.612,0.0536,114.953,0.639,69,red velvet
29,Perfect Velvet - The 2nd Album,2017-11-17,2,48Nd8rdc0WVG4rHTd76Mh6,봐 Look,spotify:track:48Nd8rdc0WVG4rHTd76Mh6,0.0792,0.761,0.785,0.000112,0.142,-4.369,0.052,111.037,0.78,49,red velvet
30,Perfect Velvet - The 2nd Album,2017-11-17,3,7BuFMtIknd3ewai0zhKhqb,I Just,spotify:track:7BuFMtIknd3ewai0zhKhqb,0.586,0.686,0.752,2.47e-06,0.364,-3.442,0.0322,149.998,0.906,50,red velvet
31,Perfect Velvet - The 2nd Album,2017-11-17,4,5XJEdVQ5jl3C3dFsV7kCTZ,Kingdom Come,spotify:track:5XJEdVQ5jl3C3dFsV7kCTZ,0.235,0.572,0.743,5.93e-06,0.0761,-3.991,0.12,170.123,0.678,52,red velvet
32,Perfect Velvet - The 2nd Album,2017-11-17,5,6z8QDsRU25QbckFUajl553,두 번째 데이트 My Second Date,spotify:track:6z8QDsRU25QbckFUajl553,0.089,0.832,0.759,6e-05,0.0565,-4.505,0.0751,94.999,0.767,45,red velvet
33,Perfect Velvet - The 2nd Album,2017-11-17,6,1ni3URO3waGQI8R6GNZ6sz,Attaboy,spotify:track:1ni3URO3waGQI8R6GNZ6sz,0.022,0.774,0.785,0.0,0.138,-4.619,0.216,104.959,0.646,43,red velvet
34,Perfect Velvet - The 2nd Album,2017-11-17,7,3OK4va42j6de25ZPNdI5kC,Perfect 10,spotify:track:3OK4va42j6de25ZPNdI5kC,0.56,0.709,0.572,0.0,0.331,-5.878,0.0514,121.9,0.564,44,red velvet
35,Perfect Velvet - The 2nd Album,2017-11-17,8,2aSoUIBolhj734OqGn5ave,About Love,spotify:track:2aSoUIBolhj734OqGn5ave,0.162,0.611,0.82,0.0,0.17,-3.838,0.204,191.908,0.78,44,red velvet
36,Perfect Velvet - The 2nd Album,2017-11-17,9,1WryFxHMRpm6SOl58n8BYz,달빛 소리 Moonlight Melody,spotify:track:1WryFxHMRpm6SOl58n8BYz,0.654,0.634,0.482,0.0,0.091,-5.813,0.0269,123.983,0.32,44,red velvet
