,album,release_date,track_number,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
0,MORE & MORE,2020-06-01,6,DON'T CALL ME AGAIN,0.00146,0.516,0.902,5.31e-05,0.11199999999999999,-4.686,0.175,187.873,0.613,49,twice
1,MORE & MORE,2020-06-01,1,MORE & MORE,0.0312,0.7390000000000001,0.841,0.0,0.17300000000000001,-4.162,0.06,106.99,0.562,83,twice
2,MORE & MORE,2020-06-01,2,OXYGEN,0.0564,0.775,0.87,2.82e-06,0.273,-4.198,0.0576,129.95600000000002,0.501,67,twice
3,MORE & MORE,2020-06-01,3,FIREWORK,0.115,0.7,0.92,2.93e-06,0.701,-1.5319999999999998,0.0536,108.006,0.685,64,twice
4,MORE & MORE,2020-06-01,4,MAKE ME GO,0.00539,0.818,0.633,0.0017399999999999998,0.0446,-3.145,0.0611,111.51700000000001,0.8140000000000001,65,twice
5,MORE & MORE,2020-06-01,5,SHADOW,0.138,0.696,0.7509999999999999,0.0,0.282,-4.966,0.161,110.8,0.478,64,twice
6,MORE & MORE,2020-06-01,6,DON’T CALL ME AGAIN,0.00146,0.516,0.902,5.31e-05,0.11199999999999999,-4.686,0.175,187.873,0.613,61,twice
7,MORE & MORE,2020-06-01,7,SWEET SUMMER DAY,0.0187,0.7070000000000001,0.95,1.1400000000000001e-05,0.35,-3.1889999999999996,0.0645,110.029,0.589,62,twice
8,&TWICE,2019-11-20,2,Stronger,0.0217,0.8320000000000001,0.9,0.000138,0.315,-5.645,0.0647,127.041,0.9620000000000001,42,twice
9,&TWICE,2019-11-20,4,Changing!,0.261,0.8320000000000001,0.904,0.00029,0.0932,-3.116,0.0729,120.04,0.81,44,twice
10,&TWICE,2019-11-20,6,What You Waiting For,0.024,0.754,0.91,2.53e-06,0.302,-3.415,0.0735,119.97200000000001,0.695,46,twice
11,&TWICE,2019-11-20,7,Be OK,0.0305,0.8540000000000001,0.7140000000000001,0.0,0.0413,-4.641,0.149,115.01700000000001,0.634,40,twice
12,&TWICE,2019-11-20,8,POLISH,0.114,0.642,0.8740000000000001,0.00031,0.0397,-5.1339999999999995,0.20600000000000002,204.112,0.888,42,twice
13,&TWICE,2019-11-20,9,How u doin',0.0237,0.677,0.745,0.0067,0.0541,-3.7710000000000004,0.0463,83.48200000000001,0.43,40,twice
14,&TWICE,2019-11-20,10,The Reason Why,0.11599999999999999,0.657,0.643,0.0,0.336,-5.0569999999999995,0.0279,80.01,0.536,45,twice
15,Feel Special,2019-09-23,1,Feel Special,0.0296,0.7090000000000001,0.9590000000000001,0.0018800000000000002,0.107,-1.339,0.0603,128.983,0.644,76,twice
16,Feel Special,2019-09-23,2,RAINBOW,0.0236,0.772,0.8490000000000001,5.46e-06,0.14400000000000002,-3.5860000000000003,0.129,133.994,0.762,55,twice
17,Feel Special,2019-09-23,3,GET LOUD,0.0464,0.7290000000000001,0.953,0.00159,0.33799999999999997,-3.6719999999999997,0.0774,120.009,0.847,58,twice
18,Feel Special,2019-09-23,4,TRICK IT,0.0866,0.752,0.8959999999999999,6.75e-06,0.135,-4.002,0.0742,127.98299999999999,0.659,57,twice
19,Feel Special,2019-09-23,5,LOVE FOOLISH,0.11800000000000001,0.721,0.84,4.34e-06,0.0576,-2.298,0.0973,114.965,0.5770000000000001,60,twice
20,Feel Special,2019-09-23,6,21:29,0.126,0.53,0.727,0.0,0.429,-5.006,0.0428,179.938,0.616,54,twice
21,Feel Special,2019-09-23,7,BREAKTHROUGH - Korean Version,0.0434,0.866,0.716,0.0,0.12,-3.347,0.121,112.02,0.6759999999999999,54,twice
22,Feel Special,2019-09-23,7,BREAKTHROUGH - Korean Ver.,0.0486,0.866,0.722,0.0,0.0926,-3.3360000000000003,0.127,112.006,0.68,47,twice
23,"The year of ""YES""",2018-12-12,1,The Best Thing I Ever Did,0.38299999999999995,0.72,0.655,0.0,0.156,-3.9939999999999998,0.0248,104.977,0.46799999999999997,54,twice
24,"The year of ""YES""",2018-12-12,2,Be as ONE - Korean Ver.,0.5720000000000001,0.6709999999999999,0.593,0.0,0.0901,-4.7410000000000005,0.0376,142.045,0.353,34,twice
25,YES or YES,2018-11-05,7,BDZ - Korean Ver.,0.0154,0.722,0.866,0.0,0.11,-2.7110000000000003,0.052000000000000005,137.946,0.659,34,twice
26,YES or YES,2018-11-05,1,YES or YES,0.0514,0.7020000000000001,0.9129999999999999,3.71e-06,0.166,-2.977,0.0374,137.982,0.735,71,twice
27,YES or YES,2018-11-05,2,SAY YOU LOVE ME,0.304,0.792,0.89,1.64e-06,0.0685,-2.125,0.0705,134.995,0.914,50,twice
28,YES or YES,2018-11-05,3,LALALA,0.29600000000000004,0.693,0.872,0.0,0.196,-2.675,0.0724,156.985,0.833,50,twice
29,YES or YES,2018-11-05,4,YOUNG & WILD,0.11900000000000001,0.804,0.621,0.0,0.31,-4.864,0.106,104.90799999999999,0.306,48,twice
30,YES or YES,2018-11-05,5,SUNSET,0.326,0.524,0.91,0.0,0.573,-3.845,0.152,170.05700000000002,0.772,46,twice
