,album,release_date,track_number,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
0,‘The ReVe Festival’ Finale,2019-12-23,1,Psycho,0.193,0.664,0.6659999999999999,0.0,0.0854,-2.2030000000000003,0.0446,139.987,0.405,80,red velvet
1,‘The ReVe Festival’ Finale,2019-12-23,2,In & Out,0.21100000000000002,0.568,0.804,0.0,0.14,-2.995,0.136,159.68,0.612,62,red velvet
2,‘The ReVe Festival’ Finale,2019-12-23,3,Remember Forever,0.57,0.5760000000000001,0.619,0.0,0.0916,-3.324,0.0419,149.89600000000002,0.524,54,red velvet
3,‘The ReVe Festival’ Finale,2019-12-23,4,"Eyes Locked, Hands Locked",0.624,0.647,0.674,1.47e-06,0.20199999999999999,-3.236,0.0441,79.986,0.7340000000000001,52,red velvet
4,‘The ReVe Festival’ Finale,2019-12-23,5,Ladies Night,0.0895,0.598,0.883,0.0,0.0731,-3.4560000000000004,0.0792,115.023,0.705,50,red velvet
5,‘The ReVe Festival’ Finale,2019-12-23,6,Jumpin',0.0106,0.731,0.8390000000000001,0.0,0.316,-3.9810000000000003,0.193,148.996,0.8109999999999999,49,red velvet
6,‘The ReVe Festival’ Finale,2019-12-23,7,Love Is The Way,0.0359,0.831,0.633,3.35e-05,0.125,-4.5680000000000005,0.0498,119.931,0.9209999999999999,50,red velvet
7,‘The ReVe Festival’ Finale,2019-12-23,8,Carpool,0.187,0.711,0.823,0.0,0.20800000000000002,-3.49,0.079,122.12200000000001,0.701,48,red velvet
8,‘The ReVe Festival’ Finale,2019-12-23,10,LP,0.0714,0.674,0.8320000000000001,0.0,0.7140000000000001,-5.2,0.0894,159.995,0.7609999999999999,50,red velvet
9,‘The ReVe Festival’ Finale,2019-12-23,11,Parade,0.046,0.728,0.84,0.00131,0.579,-4.206,0.0699,94.954,0.715,47,red velvet
10,‘The ReVe Festival’ Finale,2019-12-23,12,Bing Bing,0.106,0.774,0.888,3.84e-05,0.43200000000000005,-3.6889999999999996,0.0641,114.035,0.45,46,red velvet
11,‘The ReVe Festival’ Finale,2019-12-23,13,Milkshake,0.0431,0.526,0.765,4.22e-06,0.39,-5.855,0.243,167.813,0.84,49,red velvet
12,‘The ReVe Festival’ Finale,2019-12-23,14,Sunny Side Up!,0.149,0.706,0.6940000000000001,0.0,0.11,-5.555,0.0722,134.96,0.586,54,red velvet
