,album,release_date,track_number,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
0,'The Story of Light' Epilogue - The 6th Album,2018-09-10,1,All Day All Night,0.091,0.631,0.8320000000000001,0.0,0.109,-4.349,0.0856,130.02200000000002,0.628,38,shinee
1,'The Story of Light' Epilogue - The 6th Album,2018-09-10,2,Countless,0.0251,0.679,0.8290000000000001,0.0,0.068,-5.166,0.07200000000000001,97.04299999999999,0.604,49,shinee
2,'The Story of Light' Epilogue - The 6th Album,2018-09-10,3,Good Evening,0.0383,0.6779999999999999,0.809,0.0,0.243,-4.162,0.0598,119.979,0.561,54,shinee
3,'The Story of Light' Epilogue - The 6th Album,2018-09-10,4,Chemistry,0.134,0.418,0.797,0.0,0.122,-3.8110000000000004,0.204,88.096,0.484,37,shinee
4,'The Story of Light' Epilogue - The 6th Album,2018-09-10,5,Electric,0.171,0.722,0.643,0.0,0.22899999999999998,-4.243,0.12,105.906,0.721,35,shinee
5,'The Story of Light' Epilogue - The 6th Album,2018-09-10,6,Who Waits For Love,0.0955,0.36700000000000005,0.7609999999999999,0.0,0.0886,-4.249,0.11699999999999999,92.927,0.344,40,shinee
6,'The Story of Light' Epilogue - The 6th Album,2018-09-10,7,Our Page,0.295,0.674,0.752,0.0,0.16399999999999998,-4.657,0.0326,107.021,0.348,46,shinee
7,'The Story of Light' Epilogue - The 6th Album,2018-09-10,8,I Say,0.782,0.314,0.368,0.0,0.102,-6.416,0.0313,99.583,0.29,35,shinee
8,'The Story of Light' Epilogue - The 6th Album,2018-09-10,9,Retro,0.0556,0.5760000000000001,0.782,0.0,0.0638,-5.7620000000000005,0.19,91.27,0.73,34,shinee
9,'The Story of Light' Epilogue - The 6th Album,2018-09-10,10,Drive,0.0608,0.774,0.735,0.0,0.128,-4.141,0.174,109.984,0.769,33,shinee
10,'The Story of Light' Epilogue - The 6th Album,2018-09-10,11,I Want You,0.10099999999999999,0.7190000000000001,0.733,0.0,0.27,-4.147,0.0861,123.05799999999999,0.514,49,shinee
11,'The Story of Light' Epilogue - The 6th Album,2018-09-10,12,Undercover,0.11800000000000001,0.75,0.612,0.0,0.0494,-5.763999999999999,0.142,127.795,0.83,35,shinee
12,'The Story of Light' Epilogue - The 6th Album,2018-09-10,14,Tonight,0.302,0.626,0.715,0.0,0.185,-5.774,0.0468,139.977,0.569,34,shinee
13,'The Story of Light' Epilogue - The 6th Album,2018-09-10,15,You & I,0.266,0.612,0.5429999999999999,0.0,0.105,-7.315,0.0769,83.96700000000001,0.231,37,shinee
14,'The Story of Light' Epilogue - The 6th Album,2018-09-10,16,Lock You Down - Special Track,0.314,0.769,0.769,0.0,0.20600000000000002,-4.49,0.12300000000000001,119.96700000000001,0.873,34,shinee
