,album,release_date,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
5,MORE & MORE,2020-06-01,6,5Y3OPUKCfbGNygyijpeP4e,DON'T CALL ME AGAIN,spotify:track:5Y3OPUKCfbGNygyijpeP4e,0.00146,0.516,0.902,5.31e-05,0.112,-4.686,0.175,187.873,0.613,49,twice
7,MORE & MORE,2020-06-01,1,3omvXShuRPM3zbDpWYqf5g,MORE & MORE,spotify:track:3omvXShuRPM3zbDpWYqf5g,0.0312,0.739,0.841,0.0,0.173,-4.162,0.06,106.99,0.562,83,twice
8,MORE & MORE,2020-06-01,2,128rj96Z6tTEU3h3awSMdB,OXYGEN,spotify:track:128rj96Z6tTEU3h3awSMdB,0.0564,0.775,0.87,2.82e-06,0.273,-4.198,0.0576,129.956,0.501,67,twice
9,MORE & MORE,2020-06-01,3,5NhDDt5Zy8yGOECN3PLRdE,FIREWORK,spotify:track:5NhDDt5Zy8yGOECN3PLRdE,0.115,0.7,0.92,2.93e-06,0.701,-1.532,0.0536,108.006,0.685,64,twice
10,MORE & MORE,2020-06-01,4,6caS9LrdquWAfGeAmjqt1t,MAKE ME GO,spotify:track:6caS9LrdquWAfGeAmjqt1t,0.00539,0.818,0.633,0.00174,0.0446,-3.145,0.0611,111.517,0.814,65,twice
11,MORE & MORE,2020-06-01,5,7HzvvhTmfzvD1dV4F7MIcm,SHADOW,spotify:track:7HzvvhTmfzvD1dV4F7MIcm,0.138,0.696,0.751,0.0,0.282,-4.966,0.161,110.8,0.478,64,twice
12,MORE & MORE,2020-06-01,6,4pOPTaIor4ilgBCcOmnJRU,DON’T CALL ME AGAIN,spotify:track:4pOPTaIor4ilgBCcOmnJRU,0.00146,0.516,0.902,5.31e-05,0.112,-4.686,0.175,187.873,0.613,61,twice
13,MORE & MORE,2020-06-01,7,6UrML9LyuaBWgZV3nFLLGl,SWEET SUMMER DAY,spotify:track:6UrML9LyuaBWgZV3nFLLGl,0.0187,0.707,0.95,1.14e-05,0.35,-3.189,0.0645,110.029,0.589,62,twice
25,&TWICE (Repackage),2020-02-05,1,3egADkalVEpD99sI5AGGYe,SWING,spotify:track:3egADkalVEpD99sI5AGGYe,0.0216,0.709,0.741,1.33e-06,0.111,-4.085,0.0572,120.002,0.702,53,twice
47,&TWICE,2019-11-20,2,7m9xWqWjyXPzBP1jNbtPrA,Stronger,spotify:track:7m9xWqWjyXPzBP1jNbtPrA,0.0217,0.832,0.9,0.000138,0.315,-5.645,0.0647,127.041,0.962,42,twice
